NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Good Pearl,B,Sep-23,1,16/06/2025,Yrmth,462m,[4],5.41,1111,2nd,2¼,Rosshill Annie,"Mid,Ld-RnIn",28.49,10,29.4,06-Apr,A6,28.78
Good Pearl,B,Sep-23,1,08/06/2025,Yrmth,462m,[4],5.49,4332,4th,1½,Canya Tick,"Mid,Crd1",29,N,29.2,13/8F,A6,29.12
Good Pearl,B,Sep-23,1,02/06/2025,Yrmth,462m,[3],5.36,,,,Solo,Mid,28.67,20,29.2,,T1,28.87
Good Pearl,B,Sep-23,1,26/05/2025,Yrmth,277m,[3],,,,,Solo,Mid,16.61,20,29.5,,T1,16.81
Good Pearl,B,Sep-23,1,28/04/2025,Yrmth,462m,[3],,,NR,,Rings Ruby,In Season,28.37,N,,,A4,0
Good Pearl,B,Sep-23,1,21/04/2025,Yrmth,462m,[3],5.36,3111,2nd,1½,Devilsbit Rose,"Mid,LdRnUp-RnIn",28.06,10,28.5,09-Apr,A4,28.28
Good Pearl,B,Sep-23,1,16/04/2025,Yrmth,462m,[3],5.33,2111,1st,1,Fairest State,"Mid,LdRnUp",28.23,10,28.7,6/5F,A5,28.33
Good Pearl,B,Sep-23,1,12/04/2025,Yrmth,462m,[4],5.42,2111,2nd,shd,Good Anna,"Mid-W,CrdRnUp&RnIn,SnLd-NrLn",28.49,10,28.6,,T3,28.6
Good Pearl,B,Sep-23,1,06/04/2025,Yrmth,462m,[4],5.37,2121,1st,1½,Alfies Lad,"Mid,SnLd-1&Fr3/4",28.49,N,29,,T3,28.49
Good Pearl,B,Sep-23,1,30/03/2025,Yrmth,462m,[3],5.44,,,,Solo,Mid,28.63,N,29.3,,T1,28.63
Good Steel,D,Jul-22,2,11/06/2025,Yrmth,462m,[3],5.28,2222,3rd,6¼,Curtain Twitcher,Mid,27.63,N,38.4,11-Apr,A2,28.13
Good Steel,D,Jul-22,2,04/06/2025,Yrmth,462m,[3],5.28,3222,2nd,7,Good Extra,Mid,27.59,20,38.4,03-Jan,A1,28.35
Good Steel,D,Jul-22,2,28/05/2025,Yrmth,462m,[3],5.4,4233,3rd,4¼,Whyaye Bonnylass,"Mid,Crd1",28.03,N,38.2,15-Aug,A1,28.37
Good Steel,D,Jul-22,2,24/05/2025,Yrmth,462m,[3],5.31,4111,1st,¾,Roseville Best,"Mid-Rls,LdRnUp",27.98,20,38.3,11-Apr,A2,28.18
Good Steel,D,Jul-22,2,18/05/2025,Yrmth,462m,[3],5.35,3111,2nd,hd,Confey Bolger,"Mid,Ld1-NrLn",28.03,N,38.4,03-Jan,A2,28.05
